school_name,school_code,area,school_url
"Đại học - Học viện","","Hà Nội","https://trangedu.com/dai-hoc-hoc-vien/"
"Đại học Bách khoa Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-bach-khoa-ha-noi/"
"Đại học Chính trị","","Hà Nội","https://trangedu.com/truong/dai-hoc-chinh-tri/"
"Đại học CMC","CMC","Hà Nội","https://trangedu.com/truong/dai-hoc-cmc/"
"Đại học Công Đoàn","","Hà Nội","https://trangedu.com/truong/dai-hoc-cong-doan/"
"Đại học Công nghiệp và Thương mại Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-cong-nghiep-det-may-ha-noi/"
"Đại học Công nghiệp Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-cong-nghiep-ha-noi/"
"Đại học Công nghiệp Việt – Hung","","Hà Nội","https://trangedu.com/truong/dai-hoc-cong-nghiep-viet-hung/"
"Đại học Công nghệ Đông Á","","Hà Nội","https://trangedu.com/truong/dai-hoc-cong-nghe-dong-a/"
"Đại học Công nghệ Giao thông Vận tải","","Hà Nội","https://trangedu.com/truong/dai-hoc-cong-nghe-giao-thong-van-tai/"
"Đại học Công nghệ – Đại học Quốc gia Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-cong-nghe-dhqg-hn/"
"Đại học Công nghệ và Quản lý hữu nghị","","Hà Nội","https://trangedu.com/truong/dai-hoc-cong-nghe-va-quan-ly-huu-nghi/"
"Đại học Dược Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-duoc-ha-noi/"
"Đại học Đại Nam","","Hà Nội","https://trangedu.com/truong/dai-hoc-dai-nam/"
"Đại học Điện Lực","","Hà Nội","https://trangedu.com/truong/dai-hoc-dien-luc/"
"Đại học Đông Đô","","Hà Nội","https://trangedu.com/truong/dai-hoc-dong-do/"
"Đại học FPT Hà Nội","FPT","Hà Nội","https://trangedu.com/truong/dai-hoc-fpt-ha-noi/"
"Đại học Giáo dục – Đại học Quốc gia Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-giao-duc-dhqg-hn/"
"Đại học Giao thông Vận tải","","Hà Nội","https://trangedu.com/truong/dai-hoc-giao-thong-van-tai/"
"Đại học Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-ha-noi/"
"Đại học Hòa Bình","","Hà Nội","https://trangedu.com/truong/dai-hoc-hoa-binh/"
"Đại học Khoa học tự nhiên – Đại học Quốc gia Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-khoa-hoc-tu-nhien-dhqg-hn/"
"Đại học Khoa học và Công nghệ Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-khoa-hoc-va-cong-nghe-ha-noi/"
"Đại học Khoa học xã hội và Nhân văn – Đại học Quốc gia Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-khoa-hoc-xa-hoi-nhan-van-dhqg-hn/"
"Đại học Kiểm sát Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-kiem-sat-ha-noi/"
"Đại học Kiến trúc Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-kien-truc-ha-noi/"
"Đại học Kinh doanh và Công nghệ Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-kinh-doanh-va-cong-nghe-ha-noi/"
"Đại học Kinh tế – Đại học Quốc gia Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-kinh-te-dhqg-hn/"
"Đại học Kinh tế – Kỹ thuật Công nghiệp","","Hà Nội","https://trangedu.com/truong/dai-hoc-kinh-te-ky-thuat-cong-nghiep/"
"Đại học Kinh tế quốc dân","","Hà Nội","https://trangedu.com/truong/dai-hoc-kinh-te-quoc-dan/"
"Đại học Lao động – Xã hội","","Hà Nội","https://trangedu.com/truong/dai-hoc-lao-dong-xa-hoi/"
"Đại học Lâm nghiệp Việt Nam","","Hà Nội","https://trangedu.com/truong/dai-hoc-lam-nghiep-viet-nam/"
"Đại học Luật – Đại học Quốc gia Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-luat-dhqg-hn/"
"Đại học Luật Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-luat-ha-noi/"
"Đại học Mỏ – Địa chất","","Hà Nội","https://trangedu.com/truong/dai-hoc-mo-dia-chat/"
"Đại học Mở Hà Nội","","Hà Nội","https://trangedu.com/truong/vien-dai-hoc-mo-ha-noi/"
"Đại học Mỹ thuật Công nghiệp","","Hà Nội","https://trangedu.com/truong/dai-hoc-my-thuat-cong-nghiep/"
"Đại học Mỹ thuật Việt Nam","","Hà Nội","https://trangedu.com/truong/dai-hoc-my-thuat-viet-nam/"
"Đại học Ngoại ngữ – Đại học quốc gia Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-ngoai-ngu-dhqg-hn/"
"Đại học Ngoại thương","","Hà Nội","https://trangedu.com/truong/dai-hoc-ngoai-thuong/"
"Đại học Nguyễn Trãi","","Hà Nội","https://trangedu.com/truong/dai-hoc-nguyen-trai/"
"Đại học Phenikaa","","Hà Nội","https://trangedu.com/truong/dai-hoc-phenikaa/"
"Đại học Phòng cháy chữa cháy","","Hà Nội","https://trangedu.com/truong/dai-hoc-phong-chay-chua-chay/"
"Đại học Phương Đông","","Hà Nội","https://trangedu.com/truong/dai-hoc-phuong-dong/"
"Đại học Quốc gia Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-quoc-gia-ha-noi/"
"Đại học RMIT Hà Nội","RMIT","Hà Nội","https://trangedu.com/truong/dai-hoc-rmit-viet-nam/"
"Đại học Sân khấu Điện ảnh Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-san-khau-dien-anh-ha-noi/"
"Đại học Sư phạm Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-su-pham-ha-noi/"
"Đại học Sư phạm Nghệ thuật Trung ương","","Hà Nội","https://trangedu.com/truong/dai-hoc-su-pham-nghe-thuat-trung-uong/"
"Đại học Sư phạm Thể dục Thể thao Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-su-pham-tdtt-ha-noi/"
"Đại học Tài chính – Ngân hàng Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-tai-chinh-ngan-hang-ha-noi/"
"Đại học Tài nguyên và Môi trường Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-tai-nguyen-va-moi-truong-ha-noi/"
"Đại học Thành Đô","","Hà Nội","https://trangedu.com/truong/dai-hoc-thanh-do/"
"Đại học Thăng Long","","Hà Nội","https://trangedu.com/truong/dai-hoc-thang-long/"
"Đại học Thủ đô Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-thu-do-ha-noi/"
"Đại học Thủy lợi","","Hà Nội","https://trangedu.com/truong/dai-hoc-thuy-loi/"
"Đại học Thương mại","","Hà Nội","https://trangedu.com/truong/dai-hoc-thuong-mai/"
"Đại học Văn hóa Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-van-hoa-ha-noi/"
"Đại học Văn hóa – Nghệ thuật Quân đội","","Hà Nội","https://trangedu.com/truong/dai-hoc-van-hoa-nghe-thuat-quan-doi/"
"Đại học Việt – Nhật – Đại học Quốc gia Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-viet-nhat/"
"Đại học Xây dựng Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-xay-dung/"
"Đại học Y Dược – Đại học Quốc gia Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-y-duoc-dhqg-hn/"
"Đại học Y Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-y-ha-noi/"
"Đại học Y tế Công cộng","","Hà Nội","https://trangedu.com/truong/dai-hoc-y-te-cong-cong/"
"Trường Khoa học Liên ngành và Nghệ thuật – ĐHQGHN","HQGHN","Hà Nội","https://trangedu.com/truong/khoa-cac-khoa-hoc-lien-nganh-dhqghn/"
"Trường Quản trị và Kinh doanh – Đại học Quốc gia Hà Nội","","Hà Nội","https://trangedu.com/truong/khoa-quan-tri-va-kinh-doanh-dhqg-ha-noi/"
"Trường Quốc tế – Đại học Quốc gia Hà Nội","","Hà Nội","https://trangedu.com/truong/khoa-quoc-te-dhqg-hn/"
"Trường Sĩ quan Đặc công","","Hà Nội","https://trangedu.com/truong/truong-si-quan-dac-cong/"
"Trường Sĩ quan Lục quân 1","","Hà Nội","https://trangedu.com/truong/si-quan-luc-quan-1/"
"Trường Sĩ quan Pháo binh","","Hà Nội","https://trangedu.com/truong/truong-si-quan-phao-binh/"
"Trường Sĩ quan Phòng hóa","","Hà Nội","https://trangedu.com/truong/si-quan-phong-hoa/"
"Học viện An ninh Nhân dân","","Hà Nội","https://trangedu.com/truong/hoc-vien-an-ninh-nhan-dan/"
"Học viện Âm nhạc Quốc gia Việt Nam","","Hà Nội","https://trangedu.com/truong/hoc-vien-am-nhac-quoc-gia/"
"Học viện Báo chí và Tuyên truyền","","Hà Nội","https://trangedu.com/truong/hoc-vien-bao-chi-va-tuyen-truyen/"
"Học viện Biên phòng","","Hà Nội","https://trangedu.com/truong/hoc-vien-bien-phong/"
"Học viện Cảnh sát Nhân dân","","Hà Nội","https://trangedu.com/truong/hoc-vien-canh-sat-nhan-dan/"
"Học viện Chính sách và Phát triển","","Hà Nội","https://trangedu.com/truong/hoc-vien-chinh-sach-va-phat-trien/"
"Học viện Chính trị Công an Nhân dân","","Hà Nội","https://trangedu.com/truong/hoc-vien-chinh-tri-cong-an-nhan-dan/"
"Học viện Công nghệ Bưu chính Viễn thông","","Hà Nội","https://trangedu.com/truong/hoc-vien-cong-nghe-buu-chinh-vien-thong/"
"Học viện Dân tộc","","Hà Nội","https://trangedu.com/truong/hoc-vien-dan-toc/"
"Học viện Hành chính và Quản trị công","","Hà Nội","https://trangedu.com/truong/hoc-vien-hanh-chinh-quoc-gia/"
"Học viện Hậu cần","","Hà Nội","https://trangedu.com/truong/hoc-vien-hau-can/"
"Học viện Khoa học Quân sự","","Hà Nội","https://trangedu.com/truong/hoc-vien-khoa-hoc-quan-su/"
"Học viện Kỹ thuật Mật mã","","Hà Nội","https://trangedu.com/truong/hoc-vien-ky-thuat-mat-ma/"
"Học viện Kỹ thuật Quân sự","","Hà Nội","https://trangedu.com/truong/hoc-vien-ky-thuat-quan-su/"
"Học viện Ngoại Giao","","Hà Nội","https://trangedu.com/truong/hoc-vien-ngoai-giao/"
"Học viện Ngân Hàng","","Hà Nội","https://trangedu.com/truong/hoc-vien-ngan-hang/"
"Học viện Nông nghiệp Việt Nam","","Hà Nội","https://trangedu.com/truong/hoc-vien-nong-nghiep-viet-nam/"
"Học viện Phòng không – Không quân","","Hà Nội","https://trangedu.com/truong/hoc-vien-phong-khong-khong-quan/"
"Học viện Phụ nữ Việt Nam","","Hà Nội","https://trangedu.com/truong/hoc-vien-phu-nu-viet-nam/"
"Học viện Quản lý giáo dục","","Hà Nội","https://trangedu.com/truong/hoc-vien-quan-ly-giao-duc/"
"Học viện Quân Y","","Hà Nội","https://trangedu.com/truong/hoc-vien-quan-y/"
"Học viện Tài chính","","Hà Nội","https://trangedu.com/truong/hoc-vien-tai-chinh/"
"Học viện Thanh thiếu niên Việt Nam","","Hà Nội","https://trangedu.com/truong/hoc-vien-thanh-thieu-nien-viet-nam/"
"Học viện Tòa án","","Hà Nội","https://trangedu.com/truong/hoc-vien-toa-an/"
"Học viện Y dược học Cổ truyền Việt Nam","","Hà Nội","https://trangedu.com/truong/hoc-vien-y-duoc-hoc-co-truyen-viet-nam/"
"Đại học – Học viện khu vực Thành phố Hồ Chí Minh","","Hà Nội","https://trangedu.com/khu-vuc/dai-hoc-hoc-vien-tai-tp-hcm/"
"Đại học – Học viện khu vực Đà Nẵng","","Hà Nội","https://trangedu.com/khu-vuc/dai-hoc-hoc-vien-tai-da-nang/"
"Đại học – Học viện khu vực miền Nam (Ngoài TPHCM)","TPHCM","Hà Nội","https://trangedu.com/khu-vuc/dai-hoc-khu-vuc-mien-nam/"